Sum of Age,Attrition,BusinessTravel,Sum of DailyRate,Department,Sum of DistanceFromHome,Sum of Education,EducationField,Sum of EmployeeCount,EmployeeNumber,Sum of EnvironmentSatisfaction,Gender,Sum of HourlyRate,Sum of JobInvolvement,Sum of JobLevel,JobRole,Sum of JobSatisfaction,MaritalStatus,Sum of MonthlyIncome,Sum of MonthlyRate,Sum of NumCompaniesWorked,Over18,OverTime,Sum of PercentSalaryHike,Sum of PerformanceRating,Sum of RelationshipSatisfaction,Sum of StandardHours,Sum of StockOptionLevel,Sum of TotalWorkingYears,Sum of TrainingTimesLastYear,Sum of WorkLifeBalance,Sum of YearsAtCompany,Sum of YearsInCurrentRole,Sum of YearsSinceLastPromotion,Sum of YearsWithCurrManager
64,No,Travel_Rarely,2794,Research & Development,2,2,Human Resources,2,325,6,Male,126,2,6,Research Scientist,2,Married,13584,29092,10,Y,Yes,24,6,2,160,4,26,6,6,46,12,4,4
106,No,Travel_Rarely,2394,Research & Development,10,6,Human Resources,2,408,2,Male,94,4,4,Sales Executive,2,Divorced,4630,22222,8,Y,No,40,6,4,160,0,18,2,4,36,6,0,8
90,No,Travel_Rarely,1776,Research & Development,4,2,Human Resources,2,470,4,Male,200,4,2,Healthcare Representative,4,Married,3354,48148,14,Y,Yes,32,6,8,160,0,26,4,6,6,20,10,6
36,No,Travel_Rarely,2998,Research & Development,28,2,Human Resources,2,623,8,Male,94,4,6,Sales Representative,8,Single,2018,37456,4,Y,Yes,32,6,2,160,0,34,6,4,12,16,0,14
106,No,Travel_Rarely,388,Research & Development,2,4,Human Resources,2,797,4,Female,92,4,2,Laboratory Technician,4,Married,14288,35430,10,Y,No,24,6,6,160,0,10,4,4,18,0,6,26
80,No,Travel_Rarely,2430,Research & Development,26,4,Human Resources,2,821,6,Male,98,4,2,Sales Executive,4,Married,9896,46418,8,Y,No,34,6,2,160,0,30,8,4,16,12,6,6
36,No,Travel_Rarely,2098,Research & Development,32,4,Human Resources,2,932,4,Female,176,6,2,Research Scientist,6,Single,20722,4188,0,Y,No,22,6,4,160,0,36,4,4,10,4,4,2
76,No,Travel_Rarely,710,Research & Development,18,4,Human Resources,2,952,6,Female,152,4,2,Laboratory Technician,2,Married,15042,40750,0,Y,No,26,6,6,160,2,20,4,2,0,0,4,14
84,No,Travel_Rarely,2542,Research & Development,26,6,Human Resources,2,969,4,Male,102,6,4,Healthcare Representative,6,Married,2018,30794,0,Y,Yes,30,6,4,160,2,34,2,4,36,0,4,0
112,No,Travel_Rarely,1810,Research & Development,14,4,Human Resources,2,1033,6,Male,168,6,8,Manager,4,Divorced,2018,53228,8,Y,No,22,6,2,160,0,32,8,6,0,0,0,14
88,No,Travel_Rarely,1134,Research & Development,32,6,Human Resources,2,1094,2,Female,164,4,6,Sales Representative,4,Married,12766,16114,6,Y,No,44,6,4,160,0,22,2,4,10,18,10,6
72,No,Travel_Rarely,1762,Research & Development,44,4,Human Resources,2,1277,6,Female,164,6,2,Research Scientist,8,Single,23016,36516,6,Y,No,36,6,6,160,0,18,6,2,12,6,4,10
92,No,Travel_Rarely,1130,Research & Development,48,6,Human Resources,2,1305,2,Female,60,4,4,Research Director,4,Single,7418,35944,6,Y,Yes,22,6,2,160,2,30,6,8,16,20,0,0
90,No,Travel_Rarely,840,Research & Development,2,6,Human Resources,2,1338,2,Male,134,6,6,Sales Executive,2,Single,17962,53730,10,Y,No,38,6,8,160,2,70,10,6,18,10,6,14
66,No,Travel_Rarely,1684,Research & Development,40,4,Human Resources,2,1508,8,Male,182,4,4,Laboratory Technician,6,Divorced,3786,24962,0,Y,No,28,6,4,160,0,12,4,4,6,0,12,4
78,No,Travel_Rarely,1790,Research & Development,46,6,Human Resources,2,1581,2,Male,122,6,2,Research Scientist,8,Married,25434,4188,4,Y,No,22,6,2,160,0,24,8,8,28,16,0,0
106,No,Travel_Rarely,1608,Research & Development,10,8,Human Resources,2,1678,4,Male,130,6,4,Research Scientist,4,Divorced,10480,47762,2,Y,No,32,6,4,160,4,16,4,4,0,10,14,18
62,No,Travel_Rarely,800,Research & Development,40,2,Human Resources,2,1857,6,Female,96,2,4,Manufacturing Director,4,Married,2490,48252,0,Y,Yes,44,6,2,160,0,6,4,4,14,2,10,16
82,No,Travel_Rarely,2482,Research & Development,2,6,Human Resources,2,1959,2,Female,132,4,2,Healthcare Representative,4,Single,12976,48708,8,Y,No,44,6,4,160,0,20,8,2,8,12,2,6
72,No,Travel_Rarely,1680,Research & Development,4,2,Human Resources,2,2068,2,Male,76,6,2,Human Resources,4,Married,15810,30184,0,Y,No,28,6,4,160,0,26,6,2,2,8,2,0
94,No,Travel_Rarely,2022,Research & Development,4,4,Life Sciences,2,1,4,Female,140,4,4,Healthcare Representative,8,Married,31278,14340,10,Y,No,26,6,6,160,0,52,0,4,2,2,16,6
78,No,Travel_Rarely,1048,Research & Development,26,6,Life Sciences,2,1,4,Female,146,2,8,Laboratory Technician,4,Divorced,9624,38716,8,Y,No,32,6,6,160,2,10,10,6,22,14,0,0
86,No,Travel_Rarely,2998,Research & Development,40,2,Life Sciences,2,1,2,Female,66,6,6,Research Scientist,6,Single,2018,40156,8,Y,Yes,26,6,6,160,2,42,4,6,4,6,6,8
76,No,Travel_Rarely,2064,Research & Development,40,6,Life Sciences,2,1,2,Female,96,4,4,Sales Executive,2,Divorced,3122,21952,6,Y,Yes,34,6,2,160,0,38,6,8,12,2,4,8
94,No,Travel_Rarely,2790,Research & Development,16,8,Life Sciences,2,1,4,Female,200,2,2,Sales Executive,6,Married,2018,35478,10,Y,Yes,26,6,4,160,2,18,10,2,30,8,0,2
86,No,Travel_Rarely,1046,Research & Development,20,6,Life Sciences,2,1,8,Female,168,8,2,Sales Executive,2,Single,7560,33802,8,Y,No,22,6,4,160,2,8,4,4,22,4,12,6
70,No,Travel_Rarely,2536,Research & Development,40,2,Life Sciences,2,1,6,Male,158,6,2,Healthcare Representative,2,Divorced,11626,27810,2,Y,No,38,6,4,160,0,36,8,4,14,10,0,16
88,No,Travel_Rarely,1720,Research & Development,22,6,Life Sciences,2,1,2,Male,148,6,4,Healthcare Representative,4,Married,35910,33962,8,Y,No,36,6,4,160,0,36,4,4,10,10,0,4
60,No,Travel_Rarely,2352,Research & Development,2,6,Life Sciences,2,1,2,Male,108,4,2,Healthcare Representative,8,Single,2018,53998,2,Y,No,42,6,6,160,0,36,4,4,38,12,0,12
84,No,Travel_Rarely,204,Research & Development,26,6,Life Sciences,2,1,4,Male,142,4,2,Human Resources,2,Single,34262,23192,2,Y,Yes,34,6,8,160,0,30,4,4,2,4,10,0
72,No,Travel_Rarely,2998,Research & Development,2,6,Life Sciences,2,1,2,Male,102,2,8,Laboratory Technician,4,Single,21918,15368,8,Y,No,22,6,4,160,0,18,6,4,8,2,8,14
46,No,Travel_Rarely,2230,Research & Development,4,4,Life Sciences,2,1,4,Male,128,6,6,Laboratory Technician,2,Single,2018,9038,0,Y,Yes,28,6,6,160,0,16,2,4,0,0,6,18
82,No,Travel_Rarely,1652,Research & Development,26,4,Life Sciences,2,1,2,Male,90,4,4,Manager,2,Married,35974,21738,6,Y,No,22,6,4,160,2,58,10,6,12,12,4,2
56,No,Travel_Rarely,1180,Research & Development,14,4,Life Sciences,2,1,6,Male,132,6,2,Research Scientist,6,Divorced,2018,33072,6,Y,No,28,6,8,160,0,28,4,4,18,6,4,10
56,No,Travel_Rarely,886,Research & Development,20,6,Life Sciences,2,1,4,Male,102,6,6,Research Scientist,4,Married,31172,44768,2,Y,Yes,38,6,4,160,0,0,4,6,12,26,16,2
84,No,Travel_Rarely,800,Research & Development,6,6,Life Sciences,2,1,2,Male,78,2,2,Sales Executive,8,Married,12186,46996,0,Y,No,30,6,4,160,0,32,8,2,36,0,0,0
70,No,Travel_Rarely,1564,Research & Development,8,4,Life Sciences,2,1,2,Male,168,4,6,Sales Executive,6,Single,11730,38726,2,Y,Yes,32,6,2,160,0,18,12,8,24,14,6,10
70,No,Travel_Rarely,1084,Research & Development,16,8,Life Sciences,2,1,6,Male,168,4,2,Sales Representative,2,Married,5816,18748,12,Y,No,22,6,6,160,0,0,2,6,26,6,0,34
52,No,Travel_Rarely,674,Research & Development,28,6,Life Sciences,2,10,4,Female,146,4,4,Research Scientist,2,Married,22522,9840,2,Y,Yes,34,6,2,160,4,36,4,2,16,4,18,18
54,No,Travel_Rarely,1244,Research & Development,28,2,Life Sciences,2,13,8,Male,112,2,6,Research Scientist,2,Single,9820,9322,14,Y,Yes,28,6,8,160,0,38,4,4,0,14,6,2
56,No,Travel_Rarely,816,Research & Development,24,6,Life Sciences,2,57,4,Male,128,6,2,Laboratory Technician,4,Married,7306,17878,2,Y,No,30,6,4,160,2,10,2,2,8,0,6,0
74,No,Travel_Rarely,796,Research & Development,2,6,Life Sciences,2,95,8,Female,166,6,6,Sales Executive,8,Married,25502,39548,8,Y,No,22,6,4,160,2,38,4,4,10,8,6,0
100,No,Travel_Rarely,1392,Research & Development,18,4,Life Sciences,2,103,6,Female,154,6,4,Research Scientist,6,Single,4586,53998,8,Y,No,28,6,4,160,0,32,4,6,30,4,0,14
78,No,Travel_Rarely,1978,Research & Development,20,6,Life Sciences,2,110,2,Male,180,2,4,Laboratory Technician,6,Divorced,2018,53998,4,Y,No,32,6,8,160,4,16,2,6,4,0,0,4
58,No,Travel_Rarely,1036,Research & Development,6,2,Life Sciences,2,112,2,Male,120,4,4,Manufacturing Director,6,Divorced,10942,53998,0,Y,No,24,6,4,160,0,18,4,6,2,2,0,0
54,No,Travel_Rarely,936,Research & Development,12,6,Life Sciences,2,147,6,Female,200,4,4,Laboratory Technician,6,Single,14968,20870,4,Y,No,34,6,4,160,0,18,4,4,36,12,10,2
70,No,Travel_Rarely,530,Research & Development,42,2,Life Sciences,2,153,2,Male,190,6,4,Research Director,2,Married,3370,35250,12,Y,No,22,6,4,160,0,6,8,8,12,0,4,14
74,No,Travel_Rarely,2012,Research & Development,30,2,Life Sciences,2,154,4,Male,114,4,4,Sales Executive,8,Married,11824,43082,4,Y,No,22,6,4,160,0,28,4,4,20,0,4,8
80,No,Travel_Rarely,204,Research & Development,2,6,Life Sciences,2,157,8,Female,122,6,2,Healthcare Representative,6,Divorced,12746,23048,6,Y,No,22,6,2,160,2,32,4,4,8,8,8,10
36,No,Travel_Rarely,408,Research & Development,30,2,Life Sciences,2,163,4,Female,144,4,4,Research Scientist,6,Married,5208,53998,4,Y,Yes,38,6,2,160,2,0,2,4,4,0,8,12
56,No,Travel_Rarely,1062,Research & Development,24,4,Life Sciences,2,171,4,Female,156,2,6,Research Scientist,8,Single,25422,18386,4,Y,No,28,6,4,160,2,40,2,2,0,20,10,0
54,No,Travel_Rarely,2676,Research & Development,2,4,Life Sciences,2,176,8,Male,146,4,2,Sales Executive,4,Divorced,20444,39566,0,Y,Yes,34,6,6,160,0,20,2,6,4,4,6,10
76,No,Travel_Rarely,204,Research & Development,2,4,Life Sciences,2,184,2,Female,60,6,2,Sales Executive,6,Single,8004,50556,6,Y,No,32,6,8,160,2,12,4,4,10,0,0,12
56,No,Travel_Rarely,2368,Research & Development,10,4,Life Sciences,2,197,4,Female,156,8,4,Research Scientist,4,Married,19236,20862,4,Y,No,22,6,2,160,0,2,4,6,16,0,4,12
78,No,Travel_Rarely,600,Research & Development,26,6,Life Sciences,2,206,4,Male,108,2,4,Healthcare Representative,4,Single,9826,18872,0,Y,No,26,6,2,160,0,38,8,4,2,14,0,16
70,No,Travel_Rarely,2402,Research & Development,26,6,Life Sciences,2,211,6,Female,184,6,2,Research Scientist,6,Married,27320,49782,10,Y,No,22,6,2,160,0,20,0,4,26,8,8,10
70,No,Travel_Rarely,2052,Research & Development,22,8,Life Sciences,2,213,6,Female,168,6,2,Sales Executive,2,Single,19140,20410,8,Y,No,38,6,4,160,0,12,6,4,0,14,18,0
94,No,Travel_Rarely,2432,Research & Development,10,6,Life Sciences,2,249,4,Male,200,4,2,Research Scientist,2,Divorced,30614,47602,6,Y,Yes,26,6,4,160,6,20,8,2,16,14,6,10
100,No,Travel_Rarely,1246,Research & Development,2,4,Life Sciences,2,251,8,Male,120,2,2,Laboratory Technician,6,Divorced,9752,37130,12,Y,Yes,40,8,2,160,0,28,4,6,0,16,2,0
60,No,Travel_Rarely,860,Research & Development,30,4,Life Sciences,2,253,8,Female,158,6,2,Manufacturing Director,2,Married,2018,33714,2,Y,No,24,6,2,160,2,22,6,2,22,10,6,16
68,No,Travel_Rarely,720,Research & Development,44,6,Life Sciences,2,253,2,Male,84,4,4,Sales Executive,2,Single,9948,23088,8,Y,No,38,6,2,160,0,0,8,6,20,8,4,4
62,No,Travel_Rarely,1572,Research & Development,22,4,Life Sciences,2,254,2,Male,90,6,4,Manufacturing Director,4,Married,16764,53998,0,Y,No,22,6,4,160,2,28,4,6,14,14,8,10
46,No,Travel_Rarely,1230,Research & Development,30,2,Life Sciences,2,265,2,Male,126,2,6,Laboratory Technician,6,Single,20226,50330,2,Y,No,30,6,6,160,0,12,4,4,0,4,10,6
106,No,Travel_Rarely,1430,Research & Development,2,6,Life Sciences,2,267,4,Female,136,4,8,Laboratory Technician,6,Married,13308,31122,2,Y,No,38,6,2,160,2,0,6,6,10,16,4,10
36,No,Travel_Rarely,1074,Research & Development,32,8,Life Sciences,2,268,4,Female,156,4,6,Research Director,6,Divorced,16122,24958,2,Y,No,38,6,4,160,0,38,4,4,10,10,10,12
64,No,Travel_Rarely,1068,Research & Development,20,8,Life Sciences,2,271,4,Male,142,4,2,Sales Representative,6,Divorced,4552,10772,10,Y,No,28,6,6,160,0,22,6,2,8,2,4,2
54,No,Travel_Rarely,1750,Research & Development,2,6,Life Sciences,2,285,6,Female,128,2,2,Laboratory Technician,6,Divorced,29392,4188,10,Y,No,22,6,8,160,0,20,2,4,28,6,2,14
86,No,Travel_Rarely,824,Research & Development,34,6,Life Sciences,2,290,2,Female,176,2,6,Manager,8,Single,10998,12362,2,Y,No,26,6,2,160,0,20,6,4,12,14,4,12
56,No,Travel_Rarely,1250,Research & Development,8,6,Life Sciences,2,293,4,Female,120,2,4,Research Scientist,4,Married,7002,15692,0,Y,No,44,6,2,160,4,22,6,2,2,14,14,6
80,No,Travel_Rarely,1286,Research & Development,24,6,Life Sciences,2,305,4,Male,134,6,2,Research Scientist,8,Divorced,8166,33818,10,Y,No,38,6,4,160,0,36,6,4,8,12,8,0
74,No,Travel_Rarely,2156,Research & Development,20,6,Life Sciences,2,306,4,Male,110,2,2,Manager,6,Married,9090,26934,0,Y,No,42,6,4,160,0,10,8,4,16,2,6,12
114,No,Travel_Rarely,1588,Research & Development,14,6,Life Sciences,2,348,8,Female,74,4,2,Research Scientist,4,Married,4392,26894,0,Y,No,38,6,2,160,4,40,6,6,6,0,10,4
46,No,Travel_Rarely,1848,Research & Development,32,8,Life Sciences,2,349,4,Male,118,4,2,Sales Representative,6,Married,11986,28578,2,Y,No,26,6,4,160,2,6,2,2,28,4,10,2
78,No,Travel_Rarely,2770,Research & Development,4,4,Life Sciences,2,360,2,Male,160,4,4,Human Resources,8,Divorced,5056,24840,0,Y,Yes,24,6,2,160,2,28,2,2,20,14,0,6
96,No,Travel_Rarely,1270,Research & Development,4,8,Life Sciences,2,362,2,Male,90,2,4,Manager,6,Married,6232,25500,0,Y,No,34,6,6,160,0,10,8,4,20,10,6,0
74,No,Travel_Rarely,448,Research & Development,2,8,Life Sciences,2,371,2,Male,142,6,6,Research Scientist,4,Divorced,21056,20052,12,Y,No,34,6,2,160,0,32,0,2,2,28,2,12
72,No,Travel_Rarely,2998,Research & Development,2,4,Life Sciences,2,372,6,Female,100,4,4,Human Resources,2,Single,27958,27302,6,Y,No,28,6,4,160,2,12,0,4,18,2,0,6
68,No,Travel_Rarely,1636,Research & Development,52,2,Life Sciences,2,398,4,Male,172,4,2,Sales Executive,6,Divorced,20836,34976,8,Y,No,22,6,6,160,2,22,4,2,10,24,2,6
54,No,Travel_Rarely,2998,Research & Development,10,2,Life Sciences,2,420,6,Male,134,4,4,Laboratory Technician,6,Divorced,22038,53998,6,Y,No,36,6,2,160,2,22,2,6,24,6,10,12
62,No,Travel_Rarely,2016,Research & Development,32,2,Life Sciences,2,429,8,Female,158,2,4,Manufacturing Director,2,Single,23162,28216,8,Y,No,30,6,2,160,0,16,6,4,18,16,0,0
52,No,Travel_Rarely,516,Research & Development,10,8,Life Sciences,2,445,6,Male,162,4,6,Laboratory Technician,2,Divorced,19994,15168,0,Y,Yes,22,6,2,160,0,8,8,4,18,4,10,4
36,No,Travel_Rarely,1984,Research & Development,2,2,Life Sciences,2,463,6,Male,168,4,2,Laboratory Technician,6,Married,12652,48164,4,Y,Yes,28,6,2,160,2,22,4,4,10,18,10,0
64,No,Travel_Rarely,426,Research & Development,30,6,Life Sciences,2,466,2,Female,92,6,4,Research Scientist,6,Married,3246,37054,0,Y,No,24,6,6,160,2,28,0,4,24,10,6,6
78,No,Travel_Rarely,2502,Research & Development,2,10,Life Sciences,2,471,4,Male,154,2,2,Research Director,4,Divorced,14406,22804,0,Y,No,34,6,2,160,2,2,10,2,14,18,4,20
70,No,Travel_Rarely,1198,Research & Development,40,4,Life Sciences,2,477,8,Female,132,4,2,Laboratory Technician,2,Single,21380,53998,0,Y,No,36,6,2,160,0,38,6,6,24,8,6,2
96,No,Travel_Rarely,1422,Research & Development,24,6,Life Sciences,2,478,4,Female,150,6,2,Sales Executive,6,Divorced,2018,53998,12,Y,No,32,6,6,160,0,18,4,6,0,0,2,0
60,No,Travel_Rarely,2432,Research & Development,24,4,Life Sciences,2,479,6,Female,86,6,4,Laboratory Technician,4,Married,7210,38312,2,Y,Yes,42,6,6,160,0,32,4,6,6,16,6,10
90,No,Travel_Rarely,620,Research & Development,26,4,Life Sciences,2,480,6,Female,66,2,4,Laboratory Technician,2,Married,16730,28392,0,Y,No,26,6,2,160,0,20,4,4,18,0,2,8
88,No,Travel_Rarely,2502,Research & Development,26,8,Life Sciences,2,501,4,Male,116,6,4,Research Scientist,2,Single,13856,16356,2,Y,Yes,26,6,2,160,2,40,10,6,22,16,8,2
88,No,Travel_Rarely,1558,Research & Development,46,8,Life Sciences,2,502,6,Female,102,6,6,Sales Executive,6,Divorced,22144,36770,4,Y,No,22,6,4,160,0,4,2,4,8,6,14,4
74,No,Travel_Rarely,476,Research & Development,14,10,Life Sciences,2,504,2,Female,174,4,4,Research Scientist,8,Single,2018,20788,2,Y,No,22,6,6,160,0,30,2,2,12,18,0,6
56,No,Travel_Rarely,942,Research & Development,28,6,Life Sciences,2,507,6,Male,102,2,2,Human Resources,6,Single,24120,13064,0,Y,No,22,6,8,160,0,6,6,4,6,6,8,6
36,No,Travel_Rarely,482,Research & Development,8,2,Life Sciences,2,511,4,Male,136,4,2,Sales Executive,2,Married,2018,34642,2,Y,No,32,6,6,160,0,20,4,4,10,6,0,2
70,No,Travel_Rarely,1590,Research & Development,12,2,Life Sciences,2,519,2,Male,140,2,4,Research Scientist,4,Divorced,17852,37682,0,Y,No,36,6,2,160,0,28,10,4,4,0,4,8
98,No,Travel_Rarely,204,Research & Development,32,6,Life Sciences,2,523,6,Female,200,4,6,Manufacturing Director,2,Single,16524,47146,6,Y,No,22,6,2,160,2,12,6,6,22,6,2,0
98,No,Travel_Rarely,2886,Research & Development,10,4,Life Sciences,2,540,2,Male,174,4,2,Research Scientist,6,Divorced,10064,40200,0,Y,No,30,8,6,160,0,12,2,6,0,2,8,6
70,No,Travel_Rarely,1230,Research & Development,2,10,Life Sciences,2,554,6,Female,96,2,4,Manufacturing Director,8,Married,14594,40962,2,Y,No,32,6,6,160,2,22,8,8,32,10,0,6
76,No,Travel_Rarely,204,Research & Development,26,4,Life Sciences,2,561,4,Male,138,2,4,Sales Representative,8,Divorced,22598,28754,2,Y,No,34,6,2,160,0,0,6,6,38,10,0,0
72,No,Travel_Rarely,1738,Research & Development,4,4,Life Sciences,2,566,4,Male,94,6,2,Sales Representative,4,Married,2934,15564,12,Y,No,30,6,2,160,0,32,4,6,0,6,16,18
102,No,Travel_Rarely,942,Research & Development,40,4,Life Sciences,2,567,2,Female,152,4,2,Laboratory Technician,4,Married,11382,10308,2,Y,No,38,6,6,160,0,0,6,4,22,14,10,16
60,No,Travel_Rarely,1116,Research & Development,42,2,Life Sciences,2,586,6,Female,86,4,2,Laboratory Technician,6,Single,7432,26614,0,Y,No,28,6,8,160,0,16,6,6,14,12,0,8
76,No,Travel_Rarely,634,Research & Development,32,6,Life Sciences,2,596,6,Male,156,6,2,Healthcare Representative,4,Single,14774,6632,6,Y,No,38,6,4,160,2,36,6,4,20,4,12,16
62,No,Travel_Rarely,820,Research & Development,20,6,Life Sciences,2,599,6,Male,154,4,2,Healthcare Representative,2,Married,12304,41376,0,Y,No,28,6,2,160,0,32,6,6,0,0,8,20
54,No,Travel_Rarely,1334,Research & Development,16,2,Life Sciences,2,609,6,Female,74,8,6,Sales Representative,6,Single,6094,13852,4,Y,No,28,6,2,160,2,30,6,4,18,18,0,6
44,No,Travel_Rarely,1600,Research & Development,2,4,Life Sciences,2,621,2,Female,166,2,2,Healthcare Representative,4,Married,2018,53998,4,Y,No,28,6,2,160,0,28,6,2,24,12,0,0
70,No,Travel_Rarely,1720,Research & Development,8,4,Life Sciences,2,622,4,Male,76,2,2,Manufacturing Director,4,Married,3472,28714,6,Y,Yes,24,6,4,160,2,28,4,4,0,10,10,8
82,No,Travel_Rarely,2958,Research & Development,20,8,Life Sciences,2,623,4,Female,124,4,2,Sales Executive,2,Single,16606,30812,14,Y,No,30,6,4,160,0,6,8,4,0,18,10,4
56,No,Travel_Rarely,2230,Research & Development,14,4,Life Sciences,2,623,4,Male,60,4,2,Sales Executive,2,Married,29086,13150,4,Y,Yes,36,6,2,160,0,24,10,4,20,6,0,6
56,No,Travel_Rarely,1390,Research & Development,22,6,Life Sciences,2,625,4,Female,104,6,4,Laboratory Technician,6,Single,15642,4188,10,Y,Yes,22,6,6,160,2,26,6,4,8,16,10,10
64,No,Travel_Rarely,1156,Research & Development,2,2,Life Sciences,2,625,8,Male,60,4,6,Manufacturing Director,6,Single,7066,5400,8,Y,Yes,22,6,2,160,0,10,2,6,36,14,0,8
70,No,Travel_Rarely,1294,Research & Development,26,8,Life Sciences,2,629,6,Female,82,6,6,Research Director,6,Married,2018,27400,4,Y,No,28,6,8,160,4,34,8,4,30,18,0,4
96,No,Travel_Rarely,554,Research & Development,2,4,Life Sciences,2,635,6,Female,144,6,2,Research Scientist,6,Married,16404,26606,12,Y,No,22,6,4,160,2,18,4,2,8,10,2,16
48,No,Travel_Rarely,2460,Research & Development,20,4,Life Sciences,2,639,4,Male,112,4,2,Manufacturing Director,8,Married,9612,41414,2,Y,Yes,26,6,4,160,2,8,4,4,10,18,2,8
68,No,Travel_Rarely,2074,Research & Development,4,6,Life Sciences,2,654,6,Female,60,6,4,Research Director,8,Single,2158,24122,2,Y,Yes,30,6,8,160,2,0,2,2,20,0,10,14
74,No,Travel_Rarely,1164,Research & Development,2,6,Life Sciences,2,661,2,Female,162,4,2,Research Scientist,4,Divorced,14326,44876,6,Y,Yes,30,6,2,160,0,20,0,4,22,18,12,2
62,No,Travel_Rarely,2028,Research & Development,8,2,Life Sciences,2,676,2,Male,94,4,4,Laboratory Technician,4,Married,10414,27146,4,Y,No,22,6,4,160,2,14,4,6,0,14,6,4
60,No,Travel_Rarely,2790,Research & Development,26,6,Life Sciences,2,679,4,Male,188,6,6,Research Scientist,2,Married,32710,26272,0,Y,Yes,26,6,6,160,0,44,4,8,20,6,2,12
92,No,Travel_Rarely,1266,Research & Development,20,8,Life Sciences,2,683,2,Female,154,2,2,Research Scientist,8,Single,23086,27884,2,Y,No,24,6,6,160,0,28,4,4,8,4,0,6
68,No,Travel_Rarely,2346,Research & Development,44,8,Life Sciences,2,683,2,Female,106,4,2,Sales Executive,4,Single,11230,36516,4,Y,Yes,30,6,2,160,2,14,2,6,14,10,4,6
46,No,Travel_Rarely,1912,Research & Development,20,4,Life Sciences,2,708,4,Female,152,6,4,Laboratory Technician,4,Married,8406,38214,8,Y,Yes,34,6,4,160,0,38,4,6,42,0,0,0
72,No,Travel_Rarely,204,Research & Development,28,6,Life Sciences,2,712,6,Male,158,4,8,Healthcare Representative,2,Divorced,26482,32834,10,Y,No,24,6,4,160,0,26,6,4,10,12,12,4
78,No,Travel_Rarely,266,Research & Development,10,6,Life Sciences,2,742,6,Male,174,4,4,Laboratory Technician,6,Divorced,10986,15680,4,Y,Yes,26,6,2,160,2,18,6,4,18,16,14,18
46,No,Travel_Rarely,1458,Research & Development,2,6,Life Sciences,2,745,2,Female,130,8,6,Manager,6,Single,19812,25788,0,Y,Yes,28,6,6,160,2,2,2,6,20,8,0,4
54,No,Travel_Rarely,600,Research & Development,2,6,Life Sciences,2,747,4,Male,180,6,6,Manager,4,Single,3622,6422,0,Y,No,40,6,4,160,4,10,8,2,28,8,10,14
90,No,Travel_Rarely,1472,Research & Development,22,4,Life Sciences,2,747,6,Male,168,4,2,Research Scientist,2,Married,10240,17288,2,Y,No,36,6,4,160,2,0,4,4,2,2,2,16
44,No,Travel_Rarely,1340,Research & Development,4,2,Life Sciences,2,755,2,Female,160,6,4,Sales Executive,2,Divorced,2018,53998,6,Y,No,26,6,4,160,0,2,6,6,2,2,0,4
72,No,Travel_Rarely,1654,Research & Development,2,8,Life Sciences,2,760,6,Female,62,6,2,Research Scientist,4,Divorced,8434,11642,0,Y,No,24,6,6,160,0,28,6,4,0,6,0,4
60,No,Travel_Rarely,1872,Research & Development,38,6,Life Sciences,2,764,6,Male,200,4,4,Laboratory Technician,4,Married,9612,53998,12,Y,No,30,6,4,160,4,38,4,4,30,12,4,8
62,No,Travel_Rarely,204,Research & Development,14,4,Life Sciences,2,771,4,Male,152,4,2,Research Director,4,Married,3122,37298,2,Y,No,26,6,4,160,0,48,0,6,24,0,6,8
96,No,Travel_Rarely,310,Research & Development,4,6,Life Sciences,2,772,6,Male,92,2,2,Sales Executive,4,Divorced,8610,28652,0,Y,Yes,28,6,4,160,0,24,6,6,8,8,10,18
64,No,Travel_Rarely,496,Research & Development,8,6,Life Sciences,2,776,8,Female,192,4,4,Research Scientist,8,Married,2018,20548,10,Y,No,42,6,2,160,2,40,6,6,24,12,10,10
98,No,Travel_Rarely,1288,Research & Development,12,6,Life Sciences,2,778,8,Male,146,4,2,Healthcare Representative,8,Divorced,11356,43662,0,Y,No,42,6,6,160,4,24,4,4,42,22,0,6
88,No,Travel_Rarely,1158,Research & Development,40,2,Life Sciences,2,779,4,Female,78,4,2,Laboratory Technician,4,Married,7678,10624,8,Y,No,28,6,4,160,0,12,6,4,0,16,0,8
112,No,Travel_Rarely,630,Research & Development,2,8,Life Sciences,2,781,2,Male,148,4,2,Research Scientist,8,Married,12186,19872,0,Y,No,26,6,6,160,2,14,2,4,26,14,12,8
62,No,Travel_Rarely,1686,Research & Development,6,4,Life Sciences,2,794,4,Male,120,6,6,Manufacturing Director,6,Married,26544,51938,6,Y,No,26,6,8,160,0,20,8,6,22,10,0,8
86,No,Travel_Rarely,2998,Research & Development,22,10,Life Sciences,2,796,8,Female,184,6,4,Laboratory Technician,8,Married,8044,27442,4,Y,Yes,22,6,6,160,0,42,4,4,0,4,2,10
86,No,Travel_Rarely,2356,Research & Development,16,4,Life Sciences,2,796,6,Male,72,6,6,Laboratory Technician,4,Married,17082,22688,0,Y,No,34,6,6,160,2,44,8,2,32,6,0,4
76,No,Travel_Rarely,1212,Research & Development,6,2,Life Sciences,2,801,4,Male,114,6,2,Manufacturing Director,8,Married,19778,23008,4,Y,Yes,32,6,4,160,0,0,4,2,44,0,0,8
